exact_date,CO2_concentration,t,month
1989-01-17,13.384840061268505,31.041666666666668,1
1989-02-17,13.626988851196984,31.125,2
1989-03-17,14.169137641125474,31.208333333333332,3
1989-04-17,15.841286431053959,31.291666666666668,4
1989-05-17,16.02343522098238,31.375,5
1989-06-17,15.405584010910843,31.458333333333332,6
1989-07-17,14.117732800839292,31.541666666666668,7
1989-08-17,11.819881590767807,31.625,8
1989-09-17,9.89203038069627,31.708333333333332,9
1989-10-17,10.004179170624695,31.791666666666668,10
1989-11-17,11.246327960553174,31.875,11
1989-12-17,12.39847675048162,31.958333333333332,12
1990-01-17,13.47062554041014,32.041666666666664,1
1990-02-17,14.442774330338523,32.125,2
1990-03-17,15.054923120267006,32.208333333333336,3
1990-04-17,15.807071910195475,32.291666666666664,4
1990-05-17,16.699220700123988,32.375,5
1990-06-17,15.701369490052457,32.458333333333336,6
1990-07-17,14.21351827998086,32.541666666666664,7
1990-08-17,12.24566706990936,32.625,8
1990-09-17,10.22781585983779,32.708333333333336,9
1990-10-17,10.379964649766293,32.791666666666664,10
1990-11-17,11.96211343969469,32.875,11
1990-12-17,13.274262229623162,32.958333333333336,12
1991-01-17,13.716411019551686,33.041666666666664,1
1991-02-17,14.678559809480134,33.125,2
1991-03-17,16.020708599408636,33.208333333333336,3
1991-04-17,17.392857389337053,33.291666666666664,4
1991-05-17,18.06500617926548,33.375,5
1991-06-17,16.89715496919399,33.458333333333336,6
1991-07-17,14.759303759122474,33.541666666666664,7
1991-08-17,12.531452549050869,33.625,8
1991-09-17,10.603601338979331,33.708333333333336,9
1991-10-17,10.59575012890781,33.791666666666664,10
1991-11-17,12.067898918836306,33.875,11
1991-12-17,13.240047708764791,33.958333333333336,12
1992-01-17,14.17219649869321,34.041666666666664,1
1992-02-17,14.834345288621705,34.125,2
1992-03-17,15.856494078550156,34.208333333333336,3
1992-04-17,17.128642868478607,34.291666666666664,4
1992-05-17,17.57079165840713,34.375,5
1992-06-17,17.092940448335526,34.458333333333336,6
1992-07-17,14.795089238263984,34.541666666666664,7
1992-08-17,12.707238028192478,34.625,8
1992-09-17,10.649386818120945,34.708333333333336,9
1992-10-17,10.881535608049433,34.791666666666664,10
1992-11-17,11.663684397977875,34.875,11
1992-12-17,12.835833187906303,34.958333333333336,12
1993-01-17,14.06798197783479,35.041666666666664,1
1993-02-17,14.470130767763294,35.125,2
1993-03-17,15.612279557691693,35.208333333333336,3
1993-04-17,16.624428347620153,35.291666666666664,4
1993-05-17,17.376577137548622,35.375,5
1993-06-17,16.62872592747715,35.458333333333336,6
1993-07-17,14.530874717405595,35.541666666666664,7
1993-08-17,12.413023507334003,35.625,8
1993-09-17,10.515172297262495,35.708333333333336,9
1993-10-17,10.747321087190983,35.791666666666664,10
1993-11-17,12.029469877119425,35.875,11
1993-12-17,13.42161866704788,35.958333333333336,12
1994-01-17,14.92376745697635,36.041666666666664,1
1994-02-17,15.395916246904847,36.125,2
1994-03-17,16.388065036833325,36.208333333333336,3
1994-04-17,17.610213826761765,36.291666666666664,4
1994-05-17,17.97236261669019,36.375,5
1994-06-17,17.154511406618667,36.458333333333336,6
1994-07-17,15.696660196547157,36.541666666666664,7
1994-08-17,13.55880898647564,36.625,8
1994-09-17,11.850957776404016,36.708333333333336,9
1994-10-17,11.943106566332517,36.791666666666664,10
1994-11-17,13.455255356260977,36.875,11
1994-12-17,14.84740414618949,36.958333333333336,12
1995-01-17,15.709552936117973,37.041666666666664,1
1995-02-17,16.671701726046365,37.125,2
1995-03-17,17.233850515974837,37.208333333333336,3
1995-04-17,18.985999305903306,37.291666666666664,4
1995-05-17,19.268148095831805,37.375,5
1995-06-17,18.660296885760204,37.458333333333336,6
1995-07-17,17.222445675688675,37.541666666666664,7
1995-08-17,14.714594465617154,37.625,8
1995-09-17,13.246743255545653,37.708333333333336,9
1995-10-17,12.878892045474117,37.791666666666664,10
1995-11-17,14.621040835402539,37.875,11
1995-12-17,15.693189625331001,37.958333333333336,12
1996-01-17,16.9753384152595,38.041666666666664,1
1996-02-17,18.097487205187974,38.125,2
1996-03-17,18.809635995116423,38.208333333333336,3
1996-04-17,19.43178478504484,38.291666666666664,4
1996-05-17,20.073933574973353,38.375,5
1996-06-17,19.55608236490184,38.458333333333336,6
1996-07-17,18.168231154830266,38.541666666666664,7
1996-08-17,15.930379944758727,38.625,8
1996-09-17,13.832528734687173,38.708333333333336,9
1996-10-17,13.924677524615674,38.791666666666664,10
1996-11-17,15.006826314544128,38.875,11
1996-12-17,16.508975104472597,38.958333333333336,12
1997-01-17,17.29112389440104,39.041666666666664,1
1997-02-17,18.033272684329518,39.125,2
1997-03-17,18.535421474257987,39.208333333333336,3
1997-04-17,20.257570264186484,39.291666666666664,4
1997-05-17,20.63971905411489,39.375,5
1997-06-17,19.401867844043352,39.458333333333336,6
1997-07-17,18.17401663397186,39.541666666666664,7
1997-08-17,16.13616542390031,39.625,8
1997-09-17,13.758314213828783,39.708333333333336,9
1997-10-17,14.270463003757186,39.791666666666664,10
1997-11-17,15.862611793685687,39.875,11
1997-12-17,17.64476058361413,39.958333333333336,12
1998-01-17,18.626909373542617,40.041666666666664,1
1998-02-17,19.379058163471086,40.125,2
